species,forage_zone
Turdus_abyssinicus,ground
Turdus_albicollis,ground
Turdus_albocinctus,ground
Turdus_amaurochalinus,arboreal
Turdus_assimilis,arboreal
Turdus_atrogularis,ground
Turdus_aurantius,ground
Turdus_boulboul,ground
Turdus_cardis,ground
Turdus_celaenops,arboreal
Turdus_chiguanco,ground
Turdus_chiguanco_anthracinus,ground
Turdus_chrysolaus,ground
Turdus_dissimilis,ground
Turdus_daguae,ground
Turdus_falcklandii,ground
Turdus_feae,ground
Turdus_flavipes,arboreal
Turdus_fulviventris,ground
Turdus_fumigatus,ground
Turdus_fuscater,ground
Turdus_grayi,ground
Turdus_hauxwelli,ground
Turdus_helleri,ground
Turdus_hortulorum,ground
Turdus_ignobilis,arboreal
Turdus_iliacus,ground
Turdus_infuscatus,arboreal
Turdus_jamaicensis,arboreal
Turdus_kessleri,ground
Turdus_lawrencii,arboreal
Turdus_leucomelas,ground
Turdus_leucops,arboreal
Turdus_lherminieri,ground
Turdus_libonyana,ground
Turdus_litsitsirupa,ground
Turdus_ludoviciae,ground
Turdus_maculirostris,arboreal
Turdus_mandarinus,ground
Turdus_maranonicus,ground
Turdus_menachensis,ground
Turdus_merula,ground
Turdus_migratorius,ground
Turdus_migratorius_confinis,ground
Turdus_mupinensis,ground
Turdus_naumanni,ground
Turdus_nigrescens,ground
Turdus_nigriceps,arboreal
Turdus_niveiceps,arboreal
Turdus_nudigenis,arboreal
Turdus_obscurus,ground
Turdus_obsoletus,arboreal
Turdus_olivaceofuscus,ground
Turdus_olivaceus,ground
Turdus_olivater,ground
Turdus_pallidus,ground
Turdus_pelios,ground
Turdus_philomelos,ground
Turdus_pilaris,ground
Turdus_plebejus,arboreal
Turdus_plumbeus_plumbeus,ground
Turdus_plumbeus_rubripes,ground
Turdus_plumbeus_schistaceus,ground
Turdus_reevei,arboreal
Turdus_rubrocanus,ground
Turdus_rubrocanus_gouldi,ground
Turdus_rubrocanus_rubrocanus,ground
Turdus_ruficollis,ground
Turdus_rufitorques,ground
Turdus_rufiventris,ground
Turdus_rufopalliatus,ground
Turdus_serranus,arboreal
Turdus_subalaris,ground
Turdus_swalesi,ground
Turdus_tephronotus,ground
Turdus_torquatus,ground
Turdus_unicolor,ground
Turdus_viscivorus,ground
