species1,species2,dist_meters
Psophocichla litsitsirupa,Otocichla mupinensis,10141578.7
Turdus abyssinicus,Otocichla mupinensis, 7243564.1
Turdus albicollis,Otocichla mupinensis,16806281.4
Turdus albocinctus,Otocichla mupinensis, 1935114.4
Turdus amaurochalinus,Otocichla mupinensis,18163431.4
Turdus anthracinus,Otocichla mupinensis,19206371.1
Turdus ardosiaceus,Otocichla mupinensis,14518920.2
Turdus arthuri,Otocichla mupinensis,15859653.2
Turdus assimilis,Otocichla mupinensis,14674282.0
Turdus atrogularis,Otocichla mupinensis, 3571350.8
Turdus aurantius,Otocichla mupinensis,14614105.8
Turdus bewsheri,Otocichla mupinensis, 8058870.5
Turdus boulboul,Otocichla mupinensis,  982509.4
Turdus cardis,Otocichla mupinensis, 3002424.6
Turdus celaenops,Otocichla mupinensis, 2463950.3
Turdus chiguanco,Otocichla mupinensis,18112220.5
Turdus chrysolaus,Otocichla mupinensis, 3285718.8
Turdus confinis,Otocichla mupinensis,12983304.8
Turdus debilis,Otocichla mupinensis,17328882.8
Turdus dissimilis,Otocichla mupinensis,  797951.9
Turdus eremita,Otocichla mupinensis,14262153.3
Turdus eunomus,Otocichla mupinensis, 4228519.4
Turdus falcklandii,Otocichla mupinensis,18398627.8
Turdus feae,Otocichla mupinensis, 1229442.8
Turdus flavipes,Otocichla mupinensis,17188523.5
Turdus fulviventris,Otocichla mupinensis,16710550.3
Turdus fumigatus,Otocichla mupinensis,16347247.5
Turdus fuscater,Otocichla mupinensis,17340571.0
Turdus grayi,Otocichla mupinensis,14676030.3
Turdus haplochrous,Otocichla mupinensis,17946822.0
Turdus hauxwelli,Otocichla mupinensis,17346484.3
Turdus helleri,Otocichla mupinensis, 7978023.8
Turdus hortulorum,Otocichla mupinensis, 3232347.1
Turdus ignobilis,Otocichla mupinensis,15963284.9
Turdus iliacus,Otocichla mupinensis, 4127414.8
Turdus infuscatus,Otocichla mupinensis,14598555.2
Turdus jamaicensis,Otocichla mupinensis,14614105.8
Turdus kessleri,Otocichla mupinensis,  626830.1
Turdus lawrencii,Otocichla mupinensis,17087251.8
Turdus leucomelas,Otocichla mupinensis,16789481.0
Turdus leucops,Otocichla mupinensis,17953654.9
Turdus lherminieri,Otocichla mupinensis,14634677.1
Turdus libonyana,Otocichla mupinensis, 9619547.8
Turdus ludoviciae,Otocichla mupinensis, 6617290.9
Turdus maculirostris,Otocichla mupinensis,16734005.7
